,nuclei_area,DAPI_Y,DAPI_X,nuclei_eccentricity,slide_scene,cells
HER2B-K172_scene10_cell5300,709,5868.9576868829345,1461.5190409026798,0.920381592965964,HER2B-K172_scene10,5300
HER2B-K172_scene10_cell5305,353,5873.461756373938,1835.8300283286121,0.4382095527836972,HER2B-K172_scene10,5305
HER2B-K172_scene10_cell5311,772,5875.856217616581,4631.349740932643,0.8957737619239191,HER2B-K172_scene10,5311
HER2B-K172_scene10_cell5313,296,5874.969594594595,4560.493243243242,0.6817819969631312,HER2B-K172_scene10,5313
HER2B-K172_scene10_cell5321,170,5883.611764705883,1321.5588235294115,0.9229434977676316,HER2B-K172_scene10,5321
HER2B-K172_scene10_cell5324,485,5884.498969072166,4967.837113402062,0.8121315769528531,HER2B-K172_scene10,5324
HER2B-K172_scene10_cell5326,221,5885.280542986426,1659.79185520362,0.7785686198621401,HER2B-K172_scene10,5326
HER2B-K172_scene10_cell5327,634,5885.522082018927,1731.8596214511042,0.8626437484586714,HER2B-K172_scene10,5327
HER2B-K172_scene10_cell5328,353,5887.456090651558,1765.657223796034,0.8319649556599559,HER2B-K172_scene10,5328
HER2B-K172_scene10_cell5331,232,5890.030172413794,1342.8232758620688,0.9840723208649692,HER2B-K172_scene10,5331
HER2B-K172_scene10_cell5339,572,5895.045454545455,4502.828671328672,0.8279778096600247,HER2B-K172_scene10,5339
HER2B-K172_scene10_cell5340,658,5896.074468085108,1255.5699088145896,0.8129547708889315,HER2B-K172_scene10,5340
HER2B-K172_scene10_cell5346,583,5897.090909090909,5004.193825042882,0.7539329423873016,HER2B-K172_scene10,5346
HER2B-K172_scene10_cell5352,329,5900.741641337387,4835.012158054711,0.4825950213923374,HER2B-K172_scene10,5352
HER2B-K172_scene10_cell5358,269,5905.1858736059485,4139.163568773234,0.8359278223518266,HER2B-K172_scene10,5358
HER2B-K172_scene10_cell5359,673,5905.420505200595,4671.48588410104,0.8019717995614909,HER2B-K172_scene10,5359
HER2B-K172_scene10_cell5360,140,5906.978571428572,1278.0214285714285,0.8751671246765881,HER2B-K172_scene10,5360
HER2B-K172_scene10_cell5363,379,5907.9076517150415,1672.459102902375,0.4362072221369415,HER2B-K172_scene10,5363
HER2B-K172_scene10_cell5368,581,5908.409638554218,4883.075731497418,0.620395639516042,HER2B-K172_scene10,5368
HER2B-K172_scene10_cell5369,442,5908.941176470588,1229.5135746606336,0.8854308003082801,HER2B-K172_scene10,5369
HER2B-K172_scene10_cell5374,289,5916.124567474049,3980.6989619377173,0.5590201165237474,HER2B-K172_scene10,5374
HER2B-K172_scene10_cell5375,1220,5918.4065573770495,1789.5524590163934,0.27633665131219537,HER2B-K172_scene10,5375
HER2B-K172_scene10_cell5378,707,5921.60396039604,4241.333804809053,0.6757731412900888,HER2B-K172_scene10,5378
HER2B-K172_scene10_cell5379,517,5922.261121856866,4691.582205029014,0.6772031176505792,HER2B-K172_scene10,5379
HER2B-K172_scene10_cell5381,388,5923.755154639175,4081.3582474226814,0.7606473605975002,HER2B-K172_scene10,5381
HER2B-K172_scene10_cell5386,212,5928.33962264151,3945.575471698113,0.8874609196329272,HER2B-K172_scene10,5386
HER2B-K172_scene10_cell5387,243,5927.8888888888905,4842.621399176955,0.14801873878018834,HER2B-K172_scene10,5387
HER2B-K172_scene10_cell5395,680,5933.8647058823535,1606.7338235294117,0.8256739807376074,HER2B-K172_scene10,5395
HER2B-K172_scene10_cell5396,697,5933.460545193687,4206.3199426111905,0.7417296467664563,HER2B-K172_scene10,5396
HER2B-K172_scene10_cell5397,884,5933.4490950226245,4759.128959276018,0.6473261475511809,HER2B-K172_scene10,5397
HER2B-K172_scene10_cell5399,325,5934.58769230769,4811.461538461538,0.5993504936548877,HER2B-K172_scene10,5399
HER2B-K172_scene10_cell5400,769,5935.875162548765,1723.4499349804944,0.7834390822962638,HER2B-K172_scene10,5400
HER2B-K172_scene10_cell5408,754,5945.080901856764,1673.864721485411,0.7822270665565597,HER2B-K172_scene10,5408
