,nuclei_area,DAPI_Y,DAPI_X,nuclei_eccentricity,slide_scene,cells
Her2b-SD51_scene06_cell1495,340,1875.4176470588238,1908.7,0.8497280646741258,Her2b-SD51_scene06,1495
Her2b-SD51_scene06_cell1498,695,1874.9021582733808,6265.270503597121,0.9137489743353688,Her2b-SD51_scene06,1498
Her2b-SD51_scene06_cell1514,877,1879.394526795895,5944.168757126568,0.8082658093648774,Her2b-SD51_scene06,1514
Her2b-SD51_scene06_cell1524,646,1882.671826625387,1946.9922600619195,0.6859597854090005,Her2b-SD51_scene06,1524
Her2b-SD51_scene06_cell1534,74,1885.9324324324325,6177.0,0.9396894989249148,Her2b-SD51_scene06,1534
Her2b-SD51_scene06_cell1541,1622,1889.2355117139327,5979.929716399507,0.5077386506917034,Her2b-SD51_scene06,1541
Her2b-SD51_scene06_cell1549,615,1896.562601626016,1871.1447154471546,0.9340791708861704,Her2b-SD51_scene06,1549
Her2b-SD51_scene06_cell1553,642,1895.2274143302186,5929.113707165107,0.747644904836231,Her2b-SD51_scene06,1553
Her2b-SD51_scene06_cell1554,560,1897.8428571428567,1894.4303571428568,0.8147094745806881,Her2b-SD51_scene06,1554
Her2b-SD51_scene06_cell1557,305,1900.4459016393448,1810.2459016393445,0.9281116213147624,Her2b-SD51_scene06,1557
Her2b-SD51_scene06_cell1572,1080,1903.5444444444445,6034.2037037037035,0.6090034906549253,Her2b-SD51_scene06,1572
Her2b-SD51_scene06_cell1573,802,1904.9513715710723,1938.7144638403988,0.5875263160884528,Her2b-SD51_scene06,1573
Her2b-SD51_scene06_cell1579,239,1906.26359832636,1822.1213389121344,0.9376370277184808,Her2b-SD51_scene06,1579
Her2b-SD51_scene06_cell1604,84,1916.7857142857144,6329.392857142857,0.6289891042606489,Her2b-SD51_scene06,1604
Her2b-SD51_scene06_cell1615,322,1922.142857142857,6274.136645962733,0.6941763909257521,Her2b-SD51_scene06,1615
Her2b-SD51_scene06_cell1618,463,1924.516198704104,6295.8574514038855,0.8866046329103695,Her2b-SD51_scene06,1618
Her2b-SD51_scene06_cell1625,426,1926.5023474178408,1839.0798122065728,0.9600888117297685,Her2b-SD51_scene06,1625
Her2b-SD51_scene06_cell1633,171,1930.6959064327486,6335.076023391813,0.8154827610331712,Her2b-SD51_scene06,1633
Her2b-SD51_scene06_cell1636,463,1935.2354211663067,6156.6868250539965,0.9658238426528706,Her2b-SD51_scene06,1636
Her2b-SD51_scene06_cell1669,78,1948.2564102564106,6290.653846153847,0.9472817816747316,Her2b-SD51_scene06,1669
Her2b-SD51_scene06_cell1718,321,1970.454828660436,1800.492211838006,0.8277657842028963,Her2b-SD51_scene06,1718
