,nuclei_area,DAPI_Y,DAPI_X,nuclei_eccentricity,slide_scene
NP024_scene002_cell1,385.0,181.4961038961039,430.4727272727273,0.4874950871345682,NP024_scene002
NP024_scene002_cell2,76.0,203.28947368421046,547.7894736842105,0.8368395923062886,NP024_scene002
NP024_scene002_cell3,595.0,211.18487394957984,788.3109243697479,0.8316772375898354,NP024_scene002
NP024_scene002_cell4,845.0,213.22485207100598,172.8994082840237,0.6848161244033603,NP024_scene002
NP024_scene002_cell5,240.0,218.5583333333333,677.6,0.8360767516665873,NP024_scene002
NP024_scene002_cell6,397.0,218.74559193954656,199.3501259445844,0.8576969527491493,NP024_scene002
NP024_scene002_cell7,386.0,219.86269430051811,222.02331606217618,0.7754884471541522,NP024_scene002
NP024_scene002_cell8,109.0,220.5871559633028,51.550458715596335,0.7143727875985894,NP024_scene002
NP024_scene002_cell9,327.0,222.32415902140676,321.51681957186537,0.4945619623703875,NP024_scene002
NP024_scene002_cell10,304.0,233.06907894736838,597.4276315789474,0.5033935904905376,NP024_scene002
NP024_scene002_cell11,254.0,231.64566929133858,656.4527559055118,0.5591596878411764,NP024_scene002
NP024_scene002_cell12,779.0,233.40693196405647,247.81258023106548,0.7522438225800768,NP024_scene002
NP024_scene002_cell13,354.0,235.1864406779661,1170.819209039548,0.8370975395449408,NP024_scene002
NP024_scene002_cell14,115.0,237.06956521739133,223.42608695652171,0.8572121087723091,NP024_scene002
NP024_scene002_cell15,379.0,237.56464379947232,341.96042216358836,0.6951857645825534,NP024_scene002
NP024_scene002_cell16,750.0,240.31333333333333,282.488,0.5011283440519814,NP024_scene002
NP024_scene002_cell17,516.0,242.4186046511628,313.4864341085272,0.7760344276971677,NP024_scene002
NP024_scene002_cell18,409.0,243.64303178484107,758.40097799511,0.9414590372956928,NP024_scene002
NP024_scene002_cell19,203.0,247.1871921182266,83.02955665024629,0.7445237971208737,NP024_scene002
NP024_scene002_cell20,251.0,248.01195219123505,607.410358565737,0.7732376260171796,NP024_scene002
NP024_scene002_cell21,353.0,249.31728045325775,1038.8101983002832,0.6032825748081183,NP024_scene002
NP024_scene002_cell22,109.0,249.53211009174308,502.5779816513762,0.8856459039372152,NP024_scene002
NP024_scene002_cell23,519.0,247.3815028901734,523.7263969171482,0.7816550981772611,NP024_scene002
NP024_scene002_cell24,27.0,255.96296296296296,714.7407407407408,0.8213682551385859,NP024_scene002
NP024_scene002_cell25,118.0,256.7542372881356,73.29661016949153,0.4989707653961339,NP024_scene002
NP024_scene002_cell26,172.0,256.3313953488372,692.9651162790698,0.8158596768511776,NP024_scene002
NP024_scene002_cell27,228.0,256.9473684210526,557.5087719298245,0.8463939781243209,NP024_scene002
NP024_scene002_cell28,272.0,259.31985294117646,584.6764705882352,0.9139480953343574,NP024_scene002
NP024_scene002_cell29,482.0,258.7385892116182,1198.0352697095434,0.8103599996644003,NP024_scene002
NP024_scene002_cell30,123.0,260.5691056910569,54.0,0.8105358812687536,NP024_scene002
NP024_scene002_cell31,542.0,259.9520295202952,251.78044280442802,0.7982831318740202,NP024_scene002
NP024_scene002_cell32,144.0,260.7916666666667,778.2569444444445,0.5517767483923195,NP024_scene002
NP024_scene002_cell33,94.0,261.48936170212767,1022.7765957446808,0.6820190455025209,NP024_scene002
NP024_scene002_cell34,126.0,264.9761904761905,13.682539682539682,0.8782309540845156,NP024_scene002
NP024_scene002_cell35,111.0,265.0,792.6306306306308,0.7072216325325527,NP024_scene002
NP024_scene002_cell36,100.0,268.25,40.21,0.930327430346522,NP024_scene002
NP024_scene002_cell37,243.0,267.18930041152265,841.843621399177,0.8615041648371623,NP024_scene002
NP024_scene002_cell38,129.0,269.1860465116279,621.1317829457364,0.891560872915629,NP024_scene002
NP024_scene002_cell39,343.0,273.5451895043732,1036.3615160349857,0.9202692026884144,NP024_scene002
NP024_scene002_cell40,97.0,274.1958762886598,705.5670103092782,0.7278081837948187,NP024_scene002
NP024_scene002_cell41,220.0,273.87272727272733,756.6136363636364,0.7434970510156789,NP024_scene002
NP024_scene002_cell42,441.0,276.0770975056689,1059.9931972789116,0.8389567502118803,NP024_scene002
NP024_scene002_cell43,244.0,276.85245901639337,585.688524590164,0.9258324857096756,NP024_scene002
NP024_scene002_cell44,377.0,279.11140583554385,828.5623342175065,0.8734327191944449,NP024_scene002
NP024_scene002_cell45,273.0,280.28937728937734,541.6703296703297,0.8403014240215948,NP024_scene002
NP024_scene002_cell46,100.0,280.63,343.79,0.8275662814903114,NP024_scene002
NP024_scene002_cell47,234.0,285.42307692307685,801.9871794871794,0.8345061463923424,NP024_scene002
NP024_scene002_cell48,167.0,288.2215568862275,782.1736526946107,0.6836766532652063,NP024_scene002
NP024_scene002_cell49,108.0,288.2685185185185,939.1111111111113,0.8385340885168706,NP024_scene002
NP024_scene002_cell50,336.0,288.43154761904765,1083.547619047619,0.8762312259332664,NP024_scene002
NP024_scene002_cell51,844.0,290.0379146919431,1181.9075829383887,0.9108634571123436,NP024_scene002
NP024_scene002_cell52,298.0,294.4463087248322,1159.3053691275168,0.840658153971961,NP024_scene002
NP024_scene002_cell53,446.0,297.17713004484307,1059.8587443946187,0.91387122565596,NP024_scene002
NP024_scene002_cell54,156.0,299.3782051282052,899.025641025641,0.7366172450468168,NP024_scene002
NP024_scene002_cell55,320.0,299.15625,830.73125,0.8980283682009713,NP024_scene002
NP024_scene002_cell56,287.0,302.6759581881533,691.8118466898953,0.8358964704594112,NP024_scene002
NP024_scene002_cell57,804.0,301.32462686567163,161.43159203980102,0.6305963581928007,NP024_scene002
NP024_scene002_cell58,171.0,304.22807017543863,633.3391812865498,0.6707662510403907,NP024_scene002
NP024_scene002_cell59,215.0,306.45116279069765,257.52558139534887,0.6867021426796059,NP024_scene002
NP024_scene002_cell60,252.0,306.61904761904765,591.7619047619047,0.6450406659070167,NP024_scene002
NP024_scene002_cell61,445.0,307.1415730337078,771.876404494382,0.8933635490766141,NP024_scene002
NP024_scene002_cell62,314.0,307.66242038216564,1044.4203821656054,0.8050387447128876,NP024_scene002
NP024_scene002_cell63,262.0,310.2824427480916,734.5648854961834,0.7860008672087425,NP024_scene002
NP024_scene002_cell64,169.0,312.4911242603551,281.3786982248521,0.7758442678531328,NP024_scene002
NP024_scene002_cell65,160.0,312.525,1534.2,0.20966046034990785,NP024_scene002
NP024_scene002_cell66,37.0,317.3243243243243,179.75675675675674,0.7378395723895361,NP024_scene002
NP024_scene002_cell67,495.0,318.91717171717164,817.769696969697,0.6821835786676851,NP024_scene002
NP024_scene002_cell68,1108.0,317.6182310469314,1138.1642599277975,0.6478902231919405,NP024_scene002
NP024_scene002_cell69,117.0,320.5897435897436,570.1709401709403,0.6435769663675455,NP024_scene002
NP024_scene002_cell70,488.0,321.07377049180326,789.436475409836,0.8483525716727949,NP024_scene002
NP024_scene002_cell71,356.0,321.42977528089887,1618.8539325842694,0.9372467248668558,NP024_scene002
NP024_scene002_cell72,334.0,322.72455089820363,297.4880239520958,0.54264975852813,NP024_scene002
NP024_scene002_cell73,80.0,324.0625,1572.7125,0.7988693797761434,NP024_scene002
NP024_scene002_cell74,341.0,324.6568914956012,698.2434017595308,0.7808354571427182,NP024_scene002
NP024_scene002_cell75,318.0,325.937106918239,617.5911949685535,0.9422334638416764,NP024_scene002
NP024_scene002_cell76,447.0,326.55928411633107,1364.1565995525727,0.6037125686705922,NP024_scene002
NP024_scene002_cell77,72.0,330.0694444444445,935.8472222222223,0.8191821148853204,NP024_scene002
NP024_scene002_cell78,274.0,330.40510948905114,1202.204379562044,0.8388510407043017,NP024_scene002
NP024_scene002_cell79,222.0,331.40540540540536,315.08108108108115,0.8441273669662255,NP024_scene002
NP024_scene002_cell80,255.0,330.7686274509804,1254.1490196078432,0.18576666776998074,NP024_scene002
NP024_scene002_cell81,184.0,330.7228260869565,1547.5923913043478,0.8115878870765894,NP024_scene002
NP024_scene002_cell82,215.0,332.1767441860465,10.479069767441858,0.8830080734499584,NP024_scene002
NP024_scene002_cell83,117.0,337.3162393162393,414.5811965811966,0.7637834901405601,NP024_scene002
NP024_scene002_cell84,32.0,339.84375,71.65625,0.8136172834358947,NP024_scene002
NP024_scene002_cell85,199.0,340.0,529.3718592964824,0.7171249859894613,NP024_scene002
NP024_scene002_cell86,146.0,339.95205479452056,792.554794520548,0.9176713236502296,NP024_scene002
NP024_scene002_cell87,742.0,344.3315363881401,1021.8018867924527,0.8478285277959609,NP024_scene002
NP024_scene002_cell88,388.0,340.62886597938143,685.0953608247423,0.8491358983432278,NP024_scene002
