,nuclei_area,DAPI_Y,DAPI_X,nuclei_eccentricity,slide_scene,cells
NP004_scene001_cell1,1984,336.51461693548384,4269.475806451614,0.7345150088570911,NP004_scene001,1
NP004_scene001_cell2,519,354.77456647398844,4414.7591522158,0.5962318641872622,NP004_scene001,2
NP004_scene001_cell3,510,366.06666666666666,4570.586274509804,0.84544216193764,NP004_scene001,3
NP004_scene001_cell4,359,386.5710306406685,4941.111420612813,0.5215405511668241,NP004_scene001,4
NP004_scene001_cell6,4923,414.9008734511477,4218.073126142596,0.8749320561850321,NP004_scene001,6
NP004_scene001_cell7,577,424.2027729636048,4851.232235701907,0.8509863176767223,NP004_scene001,7
NP004_scene001_cell8,47,428.468085106383,5106.808510638298,0.5143682744507565,NP004_scene001,8
NP004_scene001_cell11,473,436.3594080338266,5184.651162790698,0.7381375353673771,NP004_scene001,11
NP004_scene001_cell12,200,437.17,5399.51,0.7388405099057855,NP004_scene001,12
NP004_scene001_cell18,514,478.35797665369654,5651.142023346302,0.4746035557466698,NP004_scene001,18
NP004_scene001_cell20,370,499.9513513513514,4107.486486486487,0.4805428497019319,NP004_scene001,20
NP004_scene001_cell30,329,532.8784194528877,4089.130699088146,0.43522014845727097,NP004_scene001,30
NP004_scene001_cell53,1081,688.63644773358,6370.248843663275,0.6978732052772902,NP004_scene001,53
NP004_scene001_cell55,354,701.0847457627119,5865.663841807909,0.6812638064818917,NP004_scene001,55
NP004_scene001_cell57,60,736.6166666666667,6275.083333333332,0.4558917296511254,NP004_scene001,57
NP004_scene001_cell69,590,843.0830508474576,6596.377966101695,0.6118044345370849,NP004_scene001,69
NP004_scene001_cell75,1146,877.260907504363,4418.634380453752,0.7828000626284238,NP004_scene001,75
NP004_scene001_cell77,442,878.9411764705882,6197.054298642534,0.4475637564781722,NP004_scene001,77
NP004_scene001_cell78,461,888.7483731019522,6750.214750542298,0.9275069947404004,NP004_scene001,78
NP004_scene001_cell80,274,897.5802919708029,4371.492700729927,0.42719499044755294,NP004_scene001,80
NP004_scene001_cell83,339,917.4601769911503,6853.887905604721,0.7256974125127559,NP004_scene001,83
NP004_scene001_cell88,2263,924.9482987185153,6045.697746354397,0.7960558832023197,NP004_scene001,88
NP004_scene001_cell91,1155,967.369696969697,5527.872727272727,0.5670460092786503,NP004_scene001,91
NP004_scene001_cell98,199,1017.4924623115578,6937.0854271356775,0.8012353781748373,NP004_scene001,98
NP004_scene001_cell99,176,1038.6420454545455,6960.647727272727,0.8218711716401462,NP004_scene001,99
NP004_scene001_cell100,422,1044.6303317535544,6984.206161137441,0.7971238726431498,NP004_scene001,100
NP004_scene001_cell106,5987,1103.282612326708,3895.470853515951,0.637727786309959,NP004_scene001,106
NP004_scene001_cell107,1678,1110.0774731823599,7010.23420738975,0.6585366839638286,NP004_scene001,107
NP004_scene001_cell109,265,1136.177358490566,7020.396226415094,0.46165876808080303,NP004_scene001,109
NP004_scene001_cell112,1199,1143.859049207673,4791.844036697248,0.4815763404042656,NP004_scene001,112
NP004_scene001_cell158,504,1372.482142857143,3474.373015873016,0.7718395188935256,NP004_scene001,158
NP004_scene001_cell160,1865,1384.020375335121,5584.56782841823,0.6567140825926518,NP004_scene001,160
NP004_scene001_cell179,444,1484.222972972973,5851.263513513513,0.7335236607748074,NP004_scene001,179
NP004_scene001_cell180,186,1487.4193548387098,4291.268817204301,0.6070045366486115,NP004_scene001,180
NP004_scene001_cell181,98,1498.357142857143,6424.948979591837,0.185236104035269,NP004_scene001,181
NP004_scene001_cell183,57,1501.842105263158,5833.631578947368,0.4812593996177157,NP004_scene001,183
NP004_scene001_cell185,315,1505.844444444445,5223.8126984126975,0.5867686447803011,NP004_scene001,185
NP004_scene001_cell190,455,1530.602197802198,6307.679120879121,0.5700780503792071,NP004_scene001,190
NP004_scene001_cell202,415,1621.9855421686746,6280.036144578313,0.6737736660284476,NP004_scene001,202
NP004_scene001_cell203,173,1661.121387283237,4775.115606936416,0.657082999230124,NP004_scene001,203
NP004_scene001_cell208,434,1679.0806451612902,4562.152073732719,0.59582384143748,NP004_scene001,208
NP004_scene001_cell212,927,1707.0377562028048,4347.076591154261,0.4790462330397126,NP004_scene001,212
NP004_scene001_cell213,4081,1697.357755452095,3223.279833374173,0.6844893664008219,NP004_scene001,213
NP004_scene001_cell220,1276,1768.3996865203762,7132.438087774294,0.4028026984355764,NP004_scene001,220
NP004_scene001_cell226,2976,1857.3531586021506,7121.03561827957,0.7107004804066952,NP004_scene001,226
NP004_scene001_cell231,122,1883.7213114754104,3221.565573770492,0.6040364360846411,NP004_scene001,231
NP004_scene001_cell236,621,1928.824476650564,7103.017713365541,0.5636195870814831,NP004_scene001,236
NP004_scene001_cell240,308,1967.0811688311687,5496.886363636364,0.6059969991965702,NP004_scene001,240
NP004_scene001_cell242,276,1976.144927536232,5467.978260869565,0.7358971231016761,NP004_scene001,242
NP004_scene001_cell244,3134,1991.8599234205487,3283.8509891512444,0.7394743790317853,NP004_scene001,244
NP004_scene001_cell268,354,2159.5112994350284,5705.4180790960445,0.5793335128131417,NP004_scene001,268
NP004_scene001_cell275,273,2206.516483516484,5777.527472527472,0.6229118841055428,NP004_scene001,275
NP004_scene001_cell293,148,2358.506756756757,6008.858108108108,0.571979602819459,NP004_scene001,293
NP004_scene001_cell301,733,2392.6766712141884,6012.030013642565,0.5865031798353261,NP004_scene001,301
NP004_scene001_cell312,984,2456.9197154471544,3391.363821138212,0.8947792265053806,NP004_scene001,312
NP004_scene001_cell325,1759,2587.476975554292,3339.899943149517,0.37939373292465,NP004_scene001,325
NP004_scene001_cell327,80,2603.625,6667.6,0.368883428029072,NP004_scene001,327
NP004_scene001_cell335,422,2655.511848341232,3316.182464454976,0.9163069562355846,NP004_scene001,335
NP004_scene001_cell337,234,2659.3418803418804,6769.145299145299,0.4614640591043989,NP004_scene001,337
NP004_scene001_cell339,1186,2674.965430016864,6265.47892074199,0.7721033994409205,NP004_scene001,339
NP004_scene001_cell344,1010,2709.0029702970296,6451.0198019801965,0.3038223707052025,NP004_scene001,344
NP004_scene001_cell346,84,2710.857142857143,6389.226190476192,0.7028335540462589,NP004_scene001,346
NP004_scene001_cell349,1973,2759.869234668018,3331.6882919412064,0.6090677761454946,NP004_scene001,349
NP004_scene001_cell358,551,2809.662431941924,3325.7023593466424,0.6126901335398903,NP004_scene001,358
NP004_scene001_cell369,206,2852.3786407766993,3322.7038834951454,0.6913548982083537,NP004_scene001,369
NP004_scene001_cell377,283,2877.0176678445227,4117.8939929328635,0.8647505890747538,NP004_scene001,377
NP004_scene001_cell380,2019,2918.504210004953,4092.009905894007,0.9728622852712904,NP004_scene001,380
NP004_scene001_cell390,383,2909.859007832898,4628.469973890339,0.8793762704457634,NP004_scene001,390
NP004_scene001_cell394,813,2924.917589175892,3330.0295202952034,0.6974551061157561,NP004_scene001,394
NP004_scene001_cell410,261,2963.816091954023,4687.551724137931,0.5643629803115465,NP004_scene001,410
NP004_scene001_cell411,1752,2967.238584474886,4157.509703196347,0.8111057192375948,NP004_scene001,411
NP004_scene001_cell420,45,3005.933333333333,6532.955555555555,0.3731795716001184,NP004_scene001,420
NP004_scene001_cell425,365,3024.0904109589037,6494.249315068492,0.9079027159133058,NP004_scene001,425
NP004_scene001_cell427,1002,3028.5808383233534,3342.3433133732533,0.5652141468464721,NP004_scene001,427
NP004_scene001_cell430,1296,3040.388888888889,4270.581790123457,0.5399703454037176,NP004_scene001,430
NP004_scene001_cell436,485,3069.5360824742274,3341.181443298969,0.6085919518539985,NP004_scene001,436
NP004_scene001_cell439,547,3078.6343692870205,3376.5904936014617,0.7568791237525255,NP004_scene001,439
NP004_scene001_cell447,907,3103.596471885336,4335.821389195149,0.7620055818875657,NP004_scene001,447
NP004_scene001_cell456,658,3151.2462006079027,2089.150455927052,0.3690267464518906,NP004_scene001,456
NP004_scene001_cell465,835,3193.0610778443115,3370.718562874252,0.7975015867665921,NP004_scene001,465
NP004_scene001_cell478,140,3249.0071428571428,4859.5,0.7136853580034336,NP004_scene001,478
NP004_scene001_cell495,848,3295.0471698113206,6441.207547169812,0.4536507444039185,NP004_scene001,495
NP004_scene001_cell500,508,3288.1259842519685,4386.968503937008,0.8270400564567717,NP004_scene001,500
NP004_scene001_cell502,117,3315.589743589744,3381.606837606837,0.7296037713231206,NP004_scene001,502
NP004_scene001_cell529,1742,3435.2663605051666,6154.93570608496,0.4982220610587031,NP004_scene001,529
NP004_scene001_cell533,1056,3448.3655303030305,4405.006628787879,0.6042674340813421,NP004_scene001,533
NP004_scene001_cell540,1094,3483.2760511883002,3374.4561243144426,0.6544889541478189,NP004_scene001,540
NP004_scene001_cell541,346,3487.1300578034693,4439.242774566474,0.4521768106592979,NP004_scene001,541
NP004_scene001_cell556,430,3556.6,4481.590697674418,0.4178458092781834,NP004_scene001,556
NP004_scene001_cell559,166,3565.066265060241,3339.5843373493976,0.6029717160160152,NP004_scene001,559
NP004_scene001_cell572,444,3609.277027027027,5706.585585585583,0.533361779830848,NP004_scene001,572
NP004_scene001_cell578,1427,3639.536089698669,4472.785564120532,0.5999318066057794,NP004_scene001,578
NP004_scene001_cell579,460,3640.0478260869563,3336.821739130435,0.7330493888007042,NP004_scene001,579
NP004_scene001_cell598,999,3734.059059059058,4552.08008008008,0.8876635192731639,NP004_scene001,598
NP004_scene001_cell608,563,3782.2966252220253,4995.827708703375,0.7487170403067631,NP004_scene001,608
NP004_scene001_cell613,2011,3801.6031824962706,4581.117851815017,0.4689223746486645,NP004_scene001,613
NP004_scene001_cell614,83,3807.192771084338,3400.0602409638554,0.6435166083322678,NP004_scene001,614
NP004_scene001_cell627,971,3864.020597322348,3420.05561277034,0.7776570750032413,NP004_scene001,627
NP004_scene001_cell628,710,3864.8901408450706,4628.861971830986,0.7737288800532355,NP004_scene001,628
NP004_scene001_cell630,527,3869.793168880456,5525.385199240986,0.6943371631992279,NP004_scene001,630
NP004_scene001_cell632,664,3885.561746987952,4996.459337349397,0.8762461910207764,NP004_scene001,632
NP004_scene001_cell636,279,3906.05734767025,3416.878136200717,0.5532796865843989,NP004_scene001,636
NP004_scene001_cell654,495,4007.707070707071,3392.6949494949486,0.8090918084149012,NP004_scene001,654
NP004_scene001_cell658,246,4050.215447154471,3415.304878048781,0.49308673942848996,NP004_scene001,658
NP004_scene001_cell666,393,4106.18320610687,5471.323155216285,0.5188892817489535,NP004_scene001,666
NP004_scene001_cell672,268,4144.410447761194,4690.970149253732,0.5932311955594481,NP004_scene001,672
NP004_scene001_cell673,1171,4120.370623398804,4654.469684030742,0.9215415999525204,NP004_scene001,673
NP004_scene001_cell676,400,4171.955,3506.39,0.6524494208315477,NP004_scene001,676
NP004_scene001_cell685,684,4212.298245614035,3521.255847953217,0.6154234813834806,NP004_scene001,685
NP004_scene001_cell686,82,4222.170731707317,5079.585365853659,0.5347222824604679,NP004_scene001,686
NP004_scene001_cell687,289,4226.650519031142,5267.59169550173,0.5485890481746029,NP004_scene001,687
NP004_scene001_cell688,445,4229.876404494382,5231.485393258427,0.7787944083452506,NP004_scene001,688
NP004_scene001_cell693,283,4257.763250883392,4812.904593639576,0.3047778304673869,NP004_scene001,693
NP004_scene001_cell700,1130,4304.442477876106,5453.225663716814,0.5769520977215182,NP004_scene001,700
NP004_scene001_cell712,432,4383.80787037037,3595.7893518518517,0.4943731986041322,NP004_scene001,712
NP004_scene001_cell719,398,4418.005025125628,4831.701005025126,0.5614317055507193,NP004_scene001,719
NP004_scene001_cell722,1071,4421.709617180205,3576.4780578898226,0.8217208364835118,NP004_scene001,722
NP004_scene001_cell743,1389,4504.493880489561,3587.629229661627,0.7037759310294975,NP004_scene001,743
NP004_scene001_cell758,291,4574.350515463918,3603.6529209622,0.5993184521417139,NP004_scene001,758
NP004_scene001_cell760,1064,4575.190789473684,4764.0,0.8998963281814404,NP004_scene001,760
NP004_scene001_cell774,363,4638.134986225895,4836.716253443527,0.9042912408474152,NP004_scene001,774
NP004_scene001_cell782,730,4670.753424657534,3593.217808219177,0.8970006789021691,NP004_scene001,782
NP004_scene001_cell783,614,4668.5732899022805,4884.397394136808,0.8952260574959883,NP004_scene001,783
NP004_scene001_cell792,1437,4709.686151704941,4961.1447459986075,0.6906491867249435,NP004_scene001,792
NP004_scene001_cell804,4287,4738.868206204806,5188.247492418941,0.8298472419593598,NP004_scene001,804
NP004_scene001_cell819,350,4790.154285714286,5082.174285714285,0.4915885060613144,NP004_scene001,819
NP004_scene001_cell835,688,4830.07703488372,3581.5421511627906,0.8467107657504863,NP004_scene001,835
NP004_scene001_cell838,369,4843.861788617885,5064.566395663956,0.8456730437770053,NP004_scene001,838
NP004_scene001_cell846,116,4885.810344827586,3556.9655172413795,0.594499371024756,NP004_scene001,846
NP004_scene001_cell856,180,4915.13888888889,3552.1888888888893,0.6469529472093811,NP004_scene001,856
NP004_scene001_cell869,885,4975.77175141243,5059.726553672316,0.8870501827439913,NP004_scene001,869
NP004_scene001_cell883,131,5032.679389312977,5281.900763358779,0.8425388107334832,NP004_scene001,883
NP004_scene001_cell903,1319,5098.324488248673,3315.1501137225173,0.8216806109156092,NP004_scene001,903
NP004_scene001_cell917,76,5125.539473684211,3211.4736842105267,0.6808361286382795,NP004_scene001,917
NP004_scene001_cell927,159,5153.289308176099,3221.51572327044,0.7661049890525148,NP004_scene001,927
NP004_scene001_cell955,1909,5256.5851231011,5133.954950235726,0.6785478926999644,NP004_scene001,955
NP004_scene001_cell956,95,5242.473684210527,3189.336842105264,0.6579093604925121,NP004_scene001,956
NP004_scene001_cell968,476,5285.086134453782,3166.777310924371,0.7116976029398067,NP004_scene001,968
NP004_scene001_cell1016,623,5411.76886035313,3024.0321027287323,0.7030202804894139,NP004_scene001,1016
NP004_scene001_cell1080,1192,5545.676174496644,2752.7055369127515,0.7388586702348993,NP004_scene001,1080
NP004_scene001_cell1098,1020,5585.464705882354,5206.145098039216,0.3947539073989996,NP004_scene001,1098
NP004_scene001_cell1111,76,5623.447368421053,5214.263157894737,0.631626317071902,NP004_scene001,1111
NP004_scene001_cell1122,395,5645.278481012659,2625.3518987341768,0.16676247261788044,NP004_scene001,1122
NP004_scene001_cell1155,4421,5721.361004297671,5263.0651436326625,0.8878488566335113,NP004_scene001,1155
