,nuclei_area,DAPI_Y,DAPI_X,nuclei_eccentricity,slide_scene
NP009_scene001_cell1,167,14.796407185628743,4904.353293413174,0.6180508375937306,NP009_scene001
NP009_scene001_cell2,160,21.575,4880.575,0.4004278919107647,NP009_scene001
NP009_scene001_cell3,145,29.055172413793105,4903.903448275863,0.24574096271859636,NP009_scene001
NP009_scene001_cell4,181,32.99447513812155,5031.85635359116,0.40135762538015296,NP009_scene001
NP009_scene001_cell5,369,37.27371273712737,3362.420054200542,0.6301795422609475,NP009_scene001
NP009_scene001_cell6,86,40.55813953488372,3716.174418604651,0.5730343350756628,NP009_scene001
NP009_scene001_cell7,68,41.04411764705883,4026.1029411764707,0.7357424443198743,NP009_scene001
NP009_scene001_cell8,449,43.15590200445435,4048.5545657015587,0.286175312210801,NP009_scene001
NP009_scene001_cell9,606,43.12376237623762,5235.333333333333,0.4162980522208683,NP009_scene001
NP009_scene001_cell10,90,44.82222222222222,5824.288888888889,0.3987010606689105,NP009_scene001
NP009_scene001_cell11,150,45.84666666666666,3556.74,0.6004825875222181,NP009_scene001
NP009_scene001_cell12,130,49.469230769230776,4901.7,0.4627930500635621,NP009_scene001
NP009_scene001_cell13,362,53.469613259668506,4075.96408839779,0.6633351598728211,NP009_scene001
NP009_scene001_cell14,339,55.7079646017699,3142.926253687316,0.3374246668993129,NP009_scene001
NP009_scene001_cell15,171,55.62573099415204,4937.19298245614,0.5151767142460956,NP009_scene001
NP009_scene001_cell16,134,57.47014925373134,3510.4776119402986,0.5266815069524479,NP009_scene001
NP009_scene001_cell17,553,60.70524412296565,4007.924050632912,0.7162551063387417,NP009_scene001
NP009_scene001_cell18,131,62.48854961832061,3570.6870229007627,0.6479514170466346,NP009_scene001
NP009_scene001_cell19,409,65.36674816625917,5228.144254278729,0.6996869582785289,NP009_scene001
NP009_scene001_cell20,247,66.1336032388664,3535.190283400809,0.8052222679895128,NP009_scene001
NP009_scene001_cell21,353,70.29178470254958,3809.926345609065,0.6773065790279639,NP009_scene001
