,nuclei_area,DAPI_Y,DAPI_X,nuclei_eccentricity,slide_scene,cells
NP036_scene001_cell1,331,354.9365558912387,388.57703927492446,0.4979504568085539,NP036_scene001,1
NP036_scene001_cell2,436,462.95871559633036,2519.830275229358,0.7952331769309232,NP036_scene001,2
NP036_scene001_cell3,29,465.7241379310345,3082.103448275862,0.7665321703011685,NP036_scene001,3
NP036_scene001_cell4,642,482.43613707165116,2479.076323987539,0.6706937594291335,NP036_scene001,4
NP036_scene001_cell5,592,481.9391891891892,2706.726351351351,0.7676177220004797,NP036_scene001,5
NP036_scene001_cell6,997,481.1344032096289,2764.074222668004,0.7805998057013748,NP036_scene001,6
NP036_scene001_cell7,651,482.3195084485407,3358.10599078341,0.6713299775310875,NP036_scene001,7
NP036_scene001_cell8,785,483.5923566878981,2673.5515923566877,0.7741301055602742,NP036_scene001,8
NP036_scene001_cell9,174,487.7988505747126,3080.977011494253,0.7841169412595842,NP036_scene001,9
NP036_scene001_cell10,330,489.45454545454544,2336.506060606061,0.7939188558754613,NP036_scene001,10
NP036_scene001_cell11,61,488.85245901639337,3011.622950819672,0.7154637399089961,NP036_scene001,11
NP036_scene001_cell12,954,492.0670859538784,2509.055555555556,0.7673418574679566,NP036_scene001,12
NP036_scene001_cell13,1134,490.95767195767195,2546.2336860670193,0.5303270612623757,NP036_scene001,13
NP036_scene001_cell14,1234,492.63128038897895,2441.900324149109,0.7244963529818992,NP036_scene001,14
NP036_scene001_cell16,89,500.8314606741573,2719.213483146068,0.8448473520098589,NP036_scene001,16
NP036_scene001_cell17,734,501.7057220708447,3410.2588555858315,0.6608230100079378,NP036_scene001,17
NP036_scene001_cell18,166,503.42771084337346,3041.427710843373,0.892453322768432,NP036_scene001,18
NP036_scene001_cell19,915,496.7213114754098,2788.876502732241,0.8877657010261221,NP036_scene001,19
NP036_scene001_cell20,706,506.15297450424936,3267.3512747875347,0.7155216145171798,NP036_scene001,20
NP036_scene001_cell21,297,509.2895622895623,2756.020202020202,0.7700623243439958,NP036_scene001,21
NP036_scene001_cell22,575,509.10086956521735,2948.410434782609,0.7170770333381055,NP036_scene001,22
NP036_scene001_cell23,1114,511.5780969479354,2652.745062836625,0.853035738862616,NP036_scene001,23
NP036_scene001_cell24,2361,508.72765777213027,3200.500211774672,0.5575687500072676,NP036_scene001,24
NP036_scene001_cell26,128,515.3984375,3313.4921875,0.6137869945923617,NP036_scene001,26
NP036_scene001_cell27,288,513.9027777777778,3460.559027777778,0.8765075735244865,NP036_scene001,27
NP036_scene001_cell28,735,515.9183673469388,3002.7360544217686,0.8665358641415803,NP036_scene001,28
NP036_scene001_cell32,944,517.9830508474577,2626.7701271186443,0.7790608739395203,NP036_scene001,32
NP036_scene001_cell33,161,520.27950310559,2467.167701863354,0.8855067139499353,NP036_scene001,33
NP036_scene001_cell34,1151,517.1007819287577,2857.5056472632496,0.7731655002173937,NP036_scene001,34
NP036_scene001_cell35,103,523.3689320388348,2366.5242718446602,0.9521071081785564,NP036_scene001,35
NP036_scene001_cell36,888,523.2331081081081,2982.9222972972966,0.8890320238567236,NP036_scene001,36
NP036_scene001_cell37,201,522.4776119402985,3363.9701492537315,0.6226070114962083,NP036_scene001,37
NP036_scene001_cell38,1362,528.5293685756242,2887.088839941263,0.8043962817834532,NP036_scene001,38
NP036_scene001_cell41,281,527.9181494661922,3434.854092526691,0.9068946875233402,NP036_scene001,41
NP036_scene001_cell42,562,532.7455516014235,2919.288256227758,0.8342747279083288,NP036_scene001,42
NP036_scene001_cell45,498,533.3674698795181,2579.5963855421687,0.8462044065613741,NP036_scene001,45
NP036_scene001_cell50,714,543.7871148459384,2314.2745098039222,0.8241872287046198,NP036_scene001,50
NP036_scene001_cell51,117,539.6068376068376,3402.1367521367515,0.9231611038216472,NP036_scene001,51
NP036_scene001_cell53,447,542.8299776286353,321.2460850111857,0.2479286962036799,NP036_scene001,53
NP036_scene001_cell54,30,541.9333333333333,2261.7,0.808718907716894,NP036_scene001,54
NP036_scene001_cell56,736,544.8491847826087,2653.4972826086955,0.6939384270175138,NP036_scene001,56
NP036_scene001_cell58,330,550.7878787878788,2334.4969696969697,0.4640539005668798,NP036_scene001,58
NP036_scene001_cell61,214,554.0841121495328,3427.154205607477,0.8045691068902187,NP036_scene001,61
NP036_scene001_cell64,156,557.4871794871794,2220.0256410256407,0.7344250411367446,NP036_scene001,64
NP036_scene001_cell67,334,556.3682634730538,2258.736526946108,0.6105878035806637,NP036_scene001,67
NP036_scene001_cell73,201,560.2736318407959,3485.268656716418,0.8253867559803065,NP036_scene001,73
NP036_scene001_cell77,574,565.3571428571429,2273.7020905923346,0.9175123386518168,NP036_scene001,77
NP036_scene001_cell94,408,580.3333333333334,2236.0,0.850158221614613,NP036_scene001,94
NP036_scene001_cell99,186,580.0645161290323,3471.548387096774,0.7611041802492335,NP036_scene001,99
NP036_scene001_cell100,130,583.6230769230771,2252.430769230769,0.7891941146978106,NP036_scene001,100
NP036_scene001_cell104,523,587.755258126195,5049.699808795411,0.618615376470031,NP036_scene001,104
NP036_scene001_cell107,193,589.8341968911918,3478.108808290156,0.6077190030162212,NP036_scene001,107
NP036_scene001_cell119,174,601.3045977011494,2254.339080459771,0.4777739633734778,NP036_scene001,119
NP036_scene001_cell142,166,612.7710843373494,3521.9698795180725,0.5718247756422618,NP036_scene001,142
NP036_scene001_cell143,763,617.1284403669723,2191.7876802096985,0.6435228681028745,NP036_scene001,143
NP036_scene001_cell150,350,625.1428571428571,2171.1,0.7192693678102495,NP036_scene001,150
NP036_scene001_cell169,97,637.3814432989691,3529.061855670104,0.7882706766689723,NP036_scene001,169
NP036_scene001_cell177,879,648.4106939704209,2142.6393629124004,0.8142999406820708,NP036_scene001,177
NP036_scene001_cell183,223,651.0269058295964,3546.8385650224213,0.5732249805109713,NP036_scene001,183
NP036_scene001_cell186,289,653.8961937716263,2160.065743944637,0.6593527532026779,NP036_scene001,186
NP036_scene001_cell209,142,668.9647887323944,3598.4014084507044,0.6409579717449151,NP036_scene001,209
NP036_scene001_cell214,163,672.0674846625767,2160.9079754601225,0.7174396750024467,NP036_scene001,214
NP036_scene001_cell238,587,686.7785349233392,3622.238500851789,0.769791110557528,NP036_scene001,238
NP036_scene001_cell263,128,699.5,3586.1640625,0.7893700026333467,NP036_scene001,263
NP036_scene001_cell266,624,702.0160256410257,3556.189102564103,0.8000522263587156,NP036_scene001,266
NP036_scene001_cell273,141,709.1985815602839,2106.326241134752,0.8178801697964828,NP036_scene001,273
NP036_scene001_cell277,174,711.4425287356323,3595.758620689656,0.839779357432397,NP036_scene001,277
NP036_scene001_cell286,83,716.3253012048192,2086.9397590361446,0.7594875484377376,NP036_scene001,286
NP036_scene001_cell287,349,716.3810888252149,3538.1318051575927,0.8372291775983747,NP036_scene001,287
NP036_scene001_cell298,272,723.9191176470587,3610.8198529411766,0.8506016693652453,NP036_scene001,298
NP036_scene001_cell302,339,725.0117994100294,3587.946902654867,0.5395904845288867,NP036_scene001,302
NP036_scene001_cell313,294,734.3537414965988,2087.1360544217687,0.9686743685686834,NP036_scene001,313
