,nuclei_area,DAPI_Y,DAPI_X,nuclei_eccentricity,slide_scene,cells
NP025B_scene1_cell1,161.0,1315.3602484472044,35222.434782608696,0.8804044953429899,NP025B_scene1,1
NP025B_scene1_cell2,185.0,1333.7729729729726,35325.11351351351,0.8368519727344573,NP025B_scene1,2
NP025B_scene1_cell3,60.0,1370.9333333333334,35101.88333333333,0.6923690087042819,NP025B_scene1,3
NP025B_scene1_cell4,764.0,1372.3010471204186,38575.12303664922,0.932222577514831,NP025B_scene1,4
NP025B_scene1_cell5,241.0,1426.4107883817428,35934.44813278008,0.9060202516037976,NP025B_scene1,5
NP025B_scene1_cell6,173.0,1460.6300578034686,35984.988439306355,0.7561534430807475,NP025B_scene1,6
NP025B_scene1_cell7,295.0,1481.542372881356,35566.38983050846,0.9121194717622276,NP025B_scene1,7
NP025B_scene1_cell8,332.0,1518.0873493975907,36047.74397590361,0.8313414571890909,NP025B_scene1,8
NP025B_scene1_cell9,230.0,1522.6869565217391,35882.64347826087,0.6902911297166202,NP025B_scene1,9
NP025B_scene1_cell10,97.0,1532.0824742268042,35168.463917525776,0.9394273775013724,NP025B_scene1,10
NP025B_scene1_cell11,344.0,1535.1511627906975,35524.36046511628,0.9585942065991052,NP025B_scene1,11
NP025B_scene1_cell12,71.0,1540.1549295774646,35367.83098591549,0.7920105966393535,NP025B_scene1,12
NP025B_scene1_cell13,42.0,1541.095238095238,35673.95238095238,0.4935921568045558,NP025B_scene1,13
NP025B_scene1_cell14,163.0,1549.4478527607364,35292.607361963186,0.9754928025137878,NP025B_scene1,14
NP025B_scene1_cell15,116.0,1551.646551724138,34524.18965517241,0.8958802470663766,NP025B_scene1,15
NP025B_scene1_cell16,223.0,1565.1659192825116,35304.139013452914,0.9218070020667852,NP025B_scene1,16
NP025B_scene1_cell17,612.0,1569.5816993464052,35663.97385620915,0.8198283638437377,NP025B_scene1,17
NP025B_scene1_cell18,101.0,1589.6237623762374,35236.445544554466,0.9254739535770926,NP025B_scene1,18
NP025B_scene1_cell19,568.0,1590.3257042253522,35480.744718309856,0.9383764692421884,NP025B_scene1,19
NP025B_scene1_cell20,241.0,1593.103734439834,35301.900414937765,0.944553264280914,NP025B_scene1,20
NP025B_scene1_cell21,604.0,1611.7301324503312,35435.48841059603,0.8518879460133191,NP025B_scene1,21
NP025B_scene1_cell22,181.0,1626.3922651933701,36128.60220994475,0.9321106501075418,NP025B_scene1,22
NP025B_scene1_cell23,244.0,1630.7131147540986,35841.13114754098,0.8678142146949536,NP025B_scene1,23
NP025B_scene1_cell24,36.0,1640.888888888889,35372.27777777778,0.7641628480259226,NP025B_scene1,24
NP025B_scene1_cell25,41.0,1649.3658536585365,35785.560975609755,0.6358739403999971,NP025B_scene1,25
NP025B_scene1_cell26,341.0,1651.2551319648096,34777.319648093835,0.9695930343448588,NP025B_scene1,26
NP025B_scene1_cell27,229.0,1655.9868995633187,36016.427947598255,0.8479901974779757,NP025B_scene1,27
NP025B_scene1_cell28,571.0,1656.9614711033275,36335.08931698774,0.8002029500398619,NP025B_scene1,28
NP025B_scene1_cell29,210.0,1660.1285714285714,34803.9,0.9186256637418788,NP025B_scene1,29
NP025B_scene1_cell30,272.0,1671.5404411764707,35802.94117647059,0.6905230410526617,NP025B_scene1,30
NP025B_scene1_cell31,119.0,1673.3025210084033,35920.09243697479,0.8035088338776951,NP025B_scene1,31
NP025B_scene1_cell32,316.0,1686.9367088607596,34161.73734177216,0.8112765885341386,NP025B_scene1,32
NP025B_scene1_cell33,222.0,1687.3603603603603,34409.27477477478,0.8314440909015831,NP025B_scene1,33
NP025B_scene1_cell34,195.0,1700.7282051282052,35412.8,0.7942364651687057,NP025B_scene1,34
NP025B_scene1_cell35,133.0,1706.3684210526314,36441.01503759399,0.9158380531964008,NP025B_scene1,35
NP025B_scene1_cell36,284.0,1708.3415492957752,36307.43661971831,0.4871643979362584,NP025B_scene1,36
NP025B_scene1_cell37,214.0,1708.696261682243,34507.35514018692,0.7970199532778368,NP025B_scene1,37
NP025B_scene1_cell38,142.0,1712.2042253521124,36416.394366197186,0.8565423978288457,NP025B_scene1,38
NP025B_scene1_cell39,140.0,1717.4,34751.24285714285,0.5787071791893049,NP025B_scene1,39
NP025B_scene1_cell40,160.0,1717.225,34765.0875,0.701741522240746,NP025B_scene1,40
NP025B_scene1_cell41,104.0,1720.3076923076926,34782.25,0.6346534533432928,NP025B_scene1,41
NP025B_scene1_cell42,137.0,1721.8175182481752,34703.43065693431,0.3681399489339201,NP025B_scene1,42
NP025B_scene1_cell43,135.0,1727.2296296296295,36202.48148148148,0.8063771288097771,NP025B_scene1,43
NP025B_scene1_cell44,151.0,1729.3046357615895,34730.443708609266,0.3795658867879296,NP025B_scene1,44
NP025B_scene1_cell45,178.0,1732.5674157303372,34695.651685393255,0.8887376487775533,NP025B_scene1,45
NP025B_scene1_cell46,162.0,1735.29012345679,34716.067901234564,0.38774551864979145,NP025B_scene1,46
NP025B_scene1_cell47,134.0,1740.2761194029852,34682.14179104478,0.3589577490170688,NP025B_scene1,47
NP025B_scene1_cell48,63.0,1743.7777777777774,35290.142857142855,0.7839298022579193,NP025B_scene1,48
NP025B_scene1_cell49,215.0,1750.2186046511627,35881.204651162785,0.5963645876463982,NP025B_scene1,49
NP025B_scene1_cell50,307.0,1753.6058631921826,35990.6351791531,0.5749730654758411,NP025B_scene1,50
NP025B_scene1_cell51,396.0,1760.2954545454545,35652.744949494954,0.8610936951077026,NP025B_scene1,51
NP025B_scene1_cell52,119.0,1768.2100840336136,36359.857142857145,0.34636595283563537,NP025B_scene1,52
NP025B_scene1_cell53,99.0,1767.080808080808,36410.19191919192,0.6218201593465075,NP025B_scene1,53
NP025B_scene1_cell54,44.0,1776.159090909091,35639.52272727273,0.8737013973547373,NP025B_scene1,54
NP025B_scene1_cell55,221.0,1777.868778280543,34401.579185520364,0.9378545975122132,NP025B_scene1,55
NP025B_scene1_cell56,163.0,1779.515337423313,34569.018404907976,0.6909216136747157,NP025B_scene1,56
NP025B_scene1_cell57,192.0,1783.723958333333,36000.057291666664,0.7713893429420037,NP025B_scene1,57
