1 , 1
2 , 0
3 , 2
4 , 2
5 , 0
6 , 2
7 , 6
8 , 2
9 , 4
10 , 0
11 , 3
12 , 6
13 , 0
14 , 0
15 , 5
16 , 8
17 , 0
18 , 0
19 , 4
20 , 2
21 , 0
22 , 1
23 , 0
24 , 0
25 , 0
26 , 2
27 , 0
28 , 1
29 , 0
30 , 4
31 , 0
32 , 1
33 , 8
34 , 0
35 , 5
36 , 13
37 , 2
38 , 0
39 , 2
40 , 1
41 , 0
42 , 0
43 , 2
44 , 2
45 , 8
46 , 0
47 , 0
48 , 0
49 , 0
50 , 0
51 , 2
52 , 1
53 , 0
54 , 0
55 , 6
56 , 2
57 , 0
58 , 5
59 , 11
60 , 0
61 , 1
62 , 2
63 , 0
64 , 0
65 , 0
66 , 0
67 , 1
68 , 0
69 , 3
70 , 28
71 , 8
72 , 11
73 , 3
74 , 0
75 , 6
76 , 1
77 , 0
78 , 0
79 , 0
80 , 0
81 , 2
82 , 7
83 , 0
84 , 3
85 , 13
86 , 0
87 , 0
88 , 2
89 , 13
90 , 0
91 , 0
92 , 3
93 , 5
94 , 0
95 , 3
96 , 5
97 , 10
98 , 9
99 , 2
100 , 2
101 , 8
102 , 0
103 , 4
104 , 3
105 , 0
106 , 0
107 , 1
108 , 3
109 , 4
110 , 23
111 , 2
112 , 0
113 , 0
114 , 0
115 , 1
116 , 1
117 , 5
118 , 0
119 , 6
120 , 3
121 , 0
122 , 5
123 , 0
124 , 2
125 , 0
126 , 0
127 , 4
128 , 1
129 , 2
130 , 1
131 , 2
132 , 3
133 , 13
134 , 0
135 , 0
136 , 6
137 , 3
138 , 17
139 , 0
140 , 4
141 , 0
142 , 2
143 , 4
144 , 2
145 , 2
146 , 2
147 , 1
148 , 2
149 , 6
150 , 2
151 , 1
152 , 1
153 , 6
154 , 1
155 , 1
156 , 4
157 , 4
158 , 0
159 , 8
160 , 9
161 , 1
162 , 5
