1 , 600 , 11
2 , 935 , 12
3 , 875 , 18
4 , 972 , 16
5 , 641 , 11
6 , 695 , 16
7 , 35 , 19
8 , 246 , 26
9 , 387 , 32
10 , 789 , 50
11 , 194 , 44
12 , 984 , 36
13 , 170 , 47
14 , 346 , 47
15 , 757 , 54
16 , 146 , 55
17 , 45 , 59
18 , 300 , 56
19 , 732 , 72
20 , 369 , 60
21 , 78 , 64
22 , 283 , 69
23 , 571 , 68
24 , 767 , 79
25 , 184 , 72
26 , 268 , 84
27 , 311 , 87
28 , 1001 , 97
29 , 10 , 102
30 , 813 , 101
31 , 281 , 99
32 , 369 , 102
33 , 496 , 101
34 , 308 , 115
35 , 279 , 117
36 , 254 , 129
37 , 955 , 127
38 , 1002 , 122
39 , 23 , 135
40 , 1013 , 146
41 , 129 , 147
42 , 298 , 143
43 , 729 , 150
44 , 761 , 152
45 , 91 , 163
46 , 746 , 160
47 , 307 , 173
48 , 809 , 175
49 , 229 , 176
50 , 754 , 174
51 , 781 , 179
52 , 665 , 181
53 , 72 , 192
54 , 979 , 208
55 , 289 , 217
56 , 548 , 210
57 , 129 , 220
58 , 282 , 245
59 , 544 , 249
60 , 600 , 256
61 , 348 , 257
62 , 532 , 267
63 , 291 , 302
64 , 141 , 301
65 , 347 , 312
66 , 251 , 320
67 , 33 , 321
68 , 996 , 318
69 , 381 , 326
70 , 275 , 336
71 , 407 , 334
72 , 358 , 338
73 , 472 , 352
74 , 578 , 348
75 , 547 , 349
76 , 403 , 363
77 , 58 , 357
78 , 358 , 360
79 , 954 , 363
80 , 241 , 364
81 , 647 , 362
82 , 584 , 365
83 , 515 , 376
84 , 277 , 378
85 , 569 , 388
86 , 975 , 389
87 , 264 , 395
88 , 371 , 405
89 , 154 , 409
90 , 601 , 409
91 , 7 , 406
92 , 258 , 425
93 , 397 , 437
94 , 224 , 446
95 , 293 , 451
96 , 100 , 450
97 , 686 , 483
98 , 703 , 503
99 , 965 , 515
100 , 717 , 522
101 , 884 , 535
102 , 713 , 534
103 , 628 , 538
104 , 905 , 535
105 , 522 , 563
106 , 838 , 562
107 , 676 , 567
108 , 89 , 597
109 , 63 , 599
110 , 605 , 602
111 , 22 , 673
112 , 683 , 747
113 , 34 , 824
114 , 529 , 860
115 , 878 , 878
116 , 840 , 884
117 , 566 , 890
118 , 914 , 902
119 , 1016 , 912
120 , 609 , 924
121 , 685 , 928
122 , 1010 , 994
123 , 296 , 984
124 , 328 , 1000
125 , 672 , 1001
126 , 40 , 1000
127 , 571 , 1003
128 , 585 , 1010
129 , 549 , 1014
130 , 370 , 1016
131 , 652 , 1018
