1 , 8
2 , 0
3 , 1
4 , 5
5 , 1
6 , 1
7 , 5
8 , 3
9 , 19
10 , 1
11 , 4
12 , 9
13 , 0
14 , 1
15 , 1
16 , 6
17 , 4
18 , 3
19 , 1
20 , 4
21 , 2
22 , 4
23 , 6
24 , 6
25 , 4
26 , 2
27 , 0
28 , 6
29 , 3
30 , 4
31 , 5
32 , 2
33 , 1
34 , 1
35 , 4
36 , 5
37 , 6
38 , 3
39 , 14
40 , 8
41 , 3
42 , 15
43 , 3
44 , 3
45 , 5
46 , 6
47 , 1
48 , 6
49 , 2
50 , 6
51 , 1
52 , 1
53 , 9
54 , 0
55 , 3
56 , 2
57 , 11
58 , 3
59 , 2
60 , 8
61 , 3
62 , 9
63 , 1
64 , 5
65 , 0
66 , 0
67 , 5
68 , 0
69 , 0
70 , 1
71 , 2
72 , 9
73 , 7
74 , 6
75 , 5
76 , 1
77 , 7
78 , 12
79 , 4
80 , 3
81 , 6
82 , 7
83 , 2
84 , 5
85 , 6
86 , 2
87 , 1
88 , 4
89 , 2
90 , 2
91 , 2
92 , 7
93 , 1
94 , 3
95 , 1
96 , 2
97 , 1
98 , 3
99 , 3
100 , 1
101 , 0
102 , 4
103 , 1
104 , 7
105 , 3
106 , 2
107 , 1
108 , 0
109 , 3
110 , 3
111 , 2
112 , 1
113 , 1
114 , 4
115 , 0
116 , 2
117 , 4
118 , 0
119 , 0
120 , 1
121 , 0
122 , 2
123 , 3
124 , 6
125 , 2
126 , 1
127 , 1
128 , 2
129 , 3
130 , 4
131 , 5
132 , 0
133 , 1
134 , 3
135 , 0
136 , 0
137 , 0
138 , 1
139 , 0
140 , 3
141 , 3
142 , 5
143 , 0
144 , 2
145 , 4
146 , 5
147 , 0
148 , 1
149 , 0
150 , 2
151 , 0
152 , 5
153 , 0
154 , 0
155 , 4
156 , 6
157 , 2
158 , 0
159 , 5
160 , 1
161 , 0
162 , 0
163 , 1
164 , 5
165 , 5
166 , 4
167 , 8
168 , 0
169 , 8
170 , 3
171 , 1
172 , 11
173 , 0
174 , 1
175 , 0
176 , 6
177 , 1
178 , 3
179 , 4
180 , 1
181 , 1
182 , 5
183 , 1
184 , 3
185 , 4
186 , 0
187 , 0
188 , 0
189 , 2
