,BMP2,CD31,CD44,ColI,ColIV,PDGFRa,PDPN,Vim,aSMA,AR,EGFR,ER,Ecad,HER2,Ki67,PgR,PCNA,pHH3,pRB,CD20,CD3,CD4,CD45,CD68,CD8,FoxP3,GRNZB,PD1,CK14,CK17,CK19,CK5,CK7,CK8,H3K27,H3K4,LamAC,LamB1,LamB2,CoxIV,Glut1,pAKT,pERK,pS6RP,53BP1,HIF1a,cPARP,gH2AX
NP035_scene001,,5,5,13,10,,12,6,4,,4,3,5,4.5,4.5,6,5,5,5,6,5,8,5,8,19,19,3,4,3,3,7,3,2.5,3,1.5,3,10,1,9,4,5,,,4,,,,5
NP035_scene002,,5,5,13,10,,12,6,4,,4,3,5,4.5,4.5,6,5,5,5,6,5,8,5,8,19,19,3,4,3,3,7,3,2.5,3,1.5,3,10,1,9,4,5,,,4,,,,5
NP036_scene001,,5,5,13,10,,12,6,4,,8,3,5,4.5,4.5,6,5,5,5,6,5,8,5,8,19,19,3,4,3,3,7,3,2.5,3,1.5,3,10,1,9,4,5,,,4,,,,5
NP015B_scene1,,9,6,32,4,,16,6,11,5,4,3,4,4,6,123,3,,2,6,3,6,2.5,10,10,8,3,2.5,3,2.5,7,3,5,2,1,3,6,,,,,,,12,,,,
NP020B_scene1,,9,6,32,4,,16,6,11,5,4,3,4,4,6,123,3,,2,6,3,6,2.5,10,10,8,3,2.5,3,2.5,7,3,5,2,1,3,6,,,,,,,12,,,,
NP025B_scene1,,9,6,32,4,,16,6,11,5,4,3,4,4,6,123,3,,2,6,3,6,2.5,10,10,8,3,2.5,3,2.5,7,3,5,2,1,3,6,,,,,,,12,,,,
NP030B_scene1,,9,6,32,4,,16,6,11,5,4,3,4,4,6,123,3,,2,6,3,6,2.5,10,10,8,3,2.5,3,2.5,7,3,5,2,1,3,6,,,,,,,12,,,,
NP030B_scene2,,9,6,32,4,,16,6,11,5,4,3,4,4,6,123,3,,2,6,3,6,2.5,10,10,8,3,2.5,3,2.5,7,3,5,2,1,3,6,,,,,,,12,,,,
NP033B_scene1,,9,6,32,4,,16,6,11,5,8,3,4,4,6,123,3,,2,6,3,6,2.5,10,10,8,3,2.5,3,2.5,7,3,5,2,1,3,6,,,,,,,12,,,,
NP034B_scene1,,9,6,32,4,,16,6,11,5,4,3,4,4,6,123,3,,2,6,3,6,2.5,10,10,8,3,2.5,3,2.5,7,3,5,2,1,3,6,,,,,,,12,,,,
