index	CellProlif_slide	DiffState_slide	DiffStateHRStatus_slide	HRStatus_slide	ImmuneFunc_slide	ImmuneType_slide	MainStromal_slide	StromalType_slide	Tcell_Immune_slide	TumorProlif_slide	celltype_slide	proliferation_slide
NP001	1.6720915574927058	0.4702788867505469	2.2091610438315508	1.7988277579233676	1.561627010186608	1.022205434634818	0.9010892913458534	1.3704080893199921	0.7872868843115886	1.6699148939356498	1.6070642437624092	0.06752283463186075
NP002	2.204956011193952	0.33752583913742473	1.2068106843623092	0.8991154175774266	1.8155870015397133	1.0773570702228097	1.203792978311971	1.4843409829460812	1.134651195106487	2.9757704334101898	1.7472908440276531	0.5794156292626115
NP003	2.4493538344895898	1.5413164327145197	1.5511968076098783	0.010867927274953336	1.9893102287837197	1.0485713662271152	0.4610049258412554	0.5174356114733722	1.1492827170021078	1.9607939631571816	1.7424327360082348	0.7340432026812234
NP004	2.111744532855374	1.7707854749517289	1.7788680438561206	0.008725808587387236	1.5240780299477656	0.9554228164462792	0.84504712630453	1.1360106056532542	0.9535284035478084	1.5038481764590284	1.6429905986427549	0.5079083585291576
NP005	1.416230912262775	0.05363316840061029	0.2968751441107787	0.243542989347976	0.4914501842526233	0.2570032057278132	0.2238125551345859	0.2621991373562628	0.3617263532712804	2.0128998538368643	1.1318732857066454	0.29030286018113505
NP006	1.916988733909862	1.1481124511215302	2.7485277254092635	1.8095006189564575	2.0879172934706305	1.2179918221865178	0.5251656228253148	0.6021788349359699	1.6797388509906277	2.0794597578324354	1.826056264165604	0.11802631605581472
NP007	2.1356965817352465	0.3980476233163462	0.748470737472318	0.3731750041851858	1.8441786320610225	1.1513069891715388	1.0074447908926296	1.8677981235718792	1.0506121654643683	2.466520134182675	1.4760703081489706	0.7263049116960477
NP008	1.3526437756837555	0.10126584699844488	0.5665197828650317	0.4755216970042124	1.6474280081956545	1.1889141914448058	0.29473900129101216	0.3089776633324695	1.2998738033755604	2.1422165456510567	1.2169219023477615	0.14883394143519593
NP009	1.5207034804992925	0.16001762666430264	0.9014081000058348	0.7978446160510537	1.0326377960300617	0.9809016728291704	0.4529515140093271	0.5794904842210583	1.2000356804178618	2.658415080606061	1.229994643306649	0.318325384290505
NP010	1.6847468100319063	0.06533847898432388	0.5756165258207859	0.5292922726370604	1.260689447372712	0.9360007052350392	0.5423895259969631	0.649364409655241	0.7535376717190029	2.2406801473108997	1.503101179139971	0.1932639026429788
NP011	1.4931367380355711	0.1990102842477099	1.7645499644046438	1.599796929360514	2.4372889091258987	1.7305566263551877	0.3370129317627352	0.3746833531598956	2.0435869956808665	2.7052551560036298	1.3708816934755126	0.14512597669486954
NP012	2.2506411588602986	0.0577738130873556	0.1894696568254573	0.1346360616028598	2.2230873502462782	1.1900794712771392	0.8870699996219356	1.3128871815129877	1.824104504326872	1.787413255939354	1.8344019106239295	0.4994624044546533
NP013	2.385843354276884	0.6816425901835562	1.1300263336248315	0.4702555777143936	2.0052112085099667	0.9546582924118221	0.7149486822476459	0.8848287380952847	1.3171876317882985	3.1490052096964103	1.84252128136159	0.6779267580040516
NP014	2.1807865544640976	0.5233448957136527	0.8171389438740099	0.3746109198159813	1.502111660014139	0.5793562592321384	0.5139275178768641	0.6551622018210899	1.0162372263469726	2.363666123218601	1.7332979531501147	0.5276608121898743
NP015	2.0088649066543804	0.3718252646072139	0.4497472614656726	0.09908658260536593	2.071904463217232	0.9851205014112177	0.7822545668362445	0.9973285418304844	1.6253633145589528	1.850069867007181	1.1205742568924684	0.9688703402783132
NP016	1.7411582089641622	0.6847300532624925	0.8535435217230616	0.19059621841604185	1.3634192206979387	0.8162381519227268	0.8615310604355209	0.9470452305144698	0.9284862782111178	1.0130503530713604	1.3136294977808651	0.4608359563180048
NP017	2.2726498653966307	0.4647766038327576	1.9824100745858289	1.619425641526506	2.5344934201758607	1.5716142620534643	0.650604048389952	0.8048742478958779	1.981890607850952	2.675629725187172	1.6077785097329933	0.7201528351625652
NP018	1.9523797376114096	0.4354081769927352	1.9399892208756389	1.5337825954126167	1.5502077803986722	1.065689325875895	0.3803337773268327	0.4242175792846305	0.7052341929636841	1.5878473978013468	1.5813176757816787	0.3851705154920545
NP019	2.1967783968717556	0.2937060657106348	1.5850672923162663	1.315861797732178	1.254650637608068	0.20367656547085647	0.1820536578811041	0.204184652731952	1.0023241928535926	1.5894823265267526	1.5556620668126968	0.7905507707037388
NP020	1.3436563484904192	0.244131420407966	1.2139737806007145	0.978756883515192	0.6028595846401394	0.41106530437342303	0.4136342460604429	0.4533525968264658	0.2090491290104348	0.4957013034753904	1.2544922894175348	0.09311996535132618
NP021	1.8175333189485816	0.13424463141685	0.5992835315869691	0.4776164178795468	1.0240679326799742	0.6721630603716395	0.9557841832102776	1.0569817623737734	0.8193318026990317	3.1116055660215203	1.1579603476774951	0.7002537065511601
NP022	1.577835568419356	0.26878598887818056	0.9323216270569132	0.6790527226738861	0.9384825657139596	0.7883291144869499	0.2946643663626907	0.3107793354227577	0.6057729192646947	1.413144839244676	1.5372823056204752	0.04358310292346496
NP023	1.6898480620948069	0.297659896210248	1.0161116044223844	0.7313595392806514	1.5579682841658935	1.222573155912739	0.3136458034712588	0.3692296279156865	1.2987955004613874	1.2019671857990035	1.3787973641516285	0.3356394092077353
NP024	1.2654877842095174	0.18925049700102475	0.647166321373087	0.4687681713891999	0.9194034056591324	0.7398204026001628	0.7049215712718927	0.8030432039038439	0.9932775778782726	1.2823652774648155	1.1545909984472793	0.1165752658018291
